"Idex"	"I"	"I"	"I"	"O"
1	2.32	2.37	0	2.16
2	2.16	2.32	0.2	1.95
3	1.95	2.16	10.8	2.59
4	2.59	1.95	4.1	2.19
5	2.19	2.59	0.3	1.86
6	1.86	2.19	0	2.19
7	2.19	1.86	0.1	2.19
8	2.19	2.19	0	2.19
9	2.19	2.19	0.5	2.08
10	2.08	2.19	0	2.08
11	2.08	2.08	0.4	2.19
12	2.19	2.08	0.8	2.19
13	2.19	2.19	2.3	1.75
14	1.75	2.19	3.4	1.53
15	1.53	1.75	5.7	1.53
16	1.53	1.53	2.3	1.53
17	1.53	1.53	0.3	1.53
18	1.53	1.53	0.1	1.53
19	1.53	1.53	0	1.53
20	1.53	1.53	0	1.53
21	1.53	1.53	0	1.53
22	1.53	1.53	2.1	1.42
23	1.42	1.53	1.3	1.31
24	1.31	1.42	0	1.2
25	1.2	1.31	1.9	1.1
26	1.1	1.2	3.8	1.1
27	1.1	1.1	2	1.04
28	1.04	1.1	0.2	1.01
29	1.01	1.04	0.6	1.01
30	1.01	1.01	0.2	1.04
31	1.04	1.01	0	1.1
32	1.1	1.04	0	1.2
33	1.2	1.1	0.2	1.31
34	1.31	1.2	0.3	3.28
35	3.28	1.31	2.1	9.85
36	9.85	3.28	2.7	55.18
37	55.18	9.85	0	21.9
38	21.9	55.18	0	14.01
39	14.01	21.9	0	12.04
40	12.04	14.01	0	11.28
41	11.28	12.04	0	9.88
42	9.88	11.28	0	8.54
43	8.54	9.88	5.8	7.55
44	7.55	8.54	2.4	6.7
45	6.7	7.55	0	5.67
46	5.67	6.7	0.1	5.05
47	5.05	5.67	1.9	4.74
48	4.74	5.05	1.1	5.35
49	5.35	4.74	0.5	5.54
50	5.54	5.35	1.1	5.23
51	5.23	5.54	0	4.81
52	4.81	5.23	6.1	4.86
53	4.86	4.81	7	5.61
54	5.61	4.86	6.5	7.88
55	7.88	5.61	2.4	11.28
56	11.28	7.88	0	10.95
57	10.95	11.28	6.5	10.6
58	10.6	10.95	9.3	15.55
59	15.55	10.6	0	17.41
60	17.41	15.55	0.2	13.14
61	13.14	17.41	0.4	10.6
62	10.6	13.14	0.5	8.87
63	8.87	10.6	0	7.42
64	7.42	8.87	0	6.45
65	6.45	7.42	0	5.74
66	5.74	6.45	1.1	5.23
67	5.23	5.74	1.1	4.93
68	4.93	5.23	0	4.57
69	4.57	4.93	0.5	4.34
70	4.34	4.57	5.1	4.28
71	4.28	4.34	2.8	4.45
72	4.45	4.28	0.1	4.34
73	4.34	4.45	6.8	4.57
74	4.57	4.34	8.5	5.61
75	5.61	4.57	2.2	19.05
76	19.05	5.61	0.1	15.55
77	15.55	19.05	2.5	11.61
78	11.61	15.55	0.7	9.53
79	9.53	11.61	0	8.54
80	8.54	9.53	0	7.03
81	7.03	8.54	0.3	6.32
82	6.32	7.03	15.9	8.87
83	8.87	6.32	4.9	23.65
84	23.65	8.87	0.3	15.55
85	15.55	23.65	0	11.28
86	11.28	15.55	0	9.2
87	9.2	11.28	0.7	8.08
88	8.08	9.2	2.2	7.36
89	7.36	8.08	0.8	6.77
90	6.77	7.36	1.7	6.32
91	6.32	6.77	0.6	6.19
92	6.19	6.32	0.2	5.54
93	5.54	6.19	3.3	5.3
94	5.3	5.54	13.5	6.19
95	6.19	5.3	27.7	33.28
96	33.28	6.19	3.5	49.71
97	49.71	33.28	1.1	27.04
98	27.04	49.71	0	18.28
99	18.28	27.04	0	13.58
100	13.58	18.28	0	10.95
101	10.95	13.58	0	9.2
102	9.2	10.95	0	8.08
103	8.08	9.2	0	7.29
104	7.29	8.08	0	6.51
105	6.51	7.29	0	5.87
106	5.87	6.51	0	5.42
107	5.42	5.87	0	5.05
108	5.05	5.42	1.1	5.49
109	5.49	5.05	8.8	9.79
110	9.79	5.49	15.4	17.08
111	17.08	9.79	0.7	12.48
112	12.48	17.08	0.1	10.24
113	10.24	12.48	1.3	8.87
114	8.87	10.24	16.3	11.28
115	11.28	8.87	6.3	22.77
116	22.77	11.28	9	19.49
117	19.49	22.77	0.2	19.93
118	19.93	19.49	0.7	16.64
119	16.64	19.93	13.5	23.65
120	23.65	16.64	0	19.05
121	19.05	23.65	0	15.11
122	15.11	19.05	0	11.61
123	11.61	15.11	0	9.53
124	9.53	11.61	5.5	8.54
125	8.54	9.53	17.6	9.53
126	9.53	8.54	0.3	9.53
127	9.53	9.53	0.2	7.69
128	7.69	9.53	5.8	7.16
129	7.16	7.69	0.6	6.7
130	6.7	7.16	1.8	5.93
131	5.93	6.7	0.1	5.3
132	5.3	5.93	0	4.74
133	4.74	5.3	0.3	4.39
134	4.39	4.74	0	4.05
135	4.05	4.39	0.1	3.88
136	3.88	4.05	6.8	3.88
137	3.88	3.88	0.4	5.05
138	5.05	3.88	0.4	3.93
139	3.93	5.05	0.3	3.5
140	3.5	3.93	2.2	3.77
141	3.77	3.5	15.5	5.8
142	5.8	3.77	12	13.8
143	13.8	5.8	0.2	20.37
144	20.37	13.8	0	10.95
145	10.95	20.37	0.3	8.08
146	8.08	10.95	0.2	6.63
147	6.63	8.08	0.1	5.67
148	5.67	6.63	0	4.86
149	4.86	5.67	9.2	5.05
150	5.05	4.86	5.2	4.63
151	4.63	5.05	0.2	4.39
152	4.39	4.63	0.4	3.82
153	3.82	4.39	0	3.39
154	3.39	3.82	0.2	3.13
155	3.13	3.39	1.6	2.88
156	2.88	3.13	3.4	2.78
157	2.78	2.88	1.2	2.88
158	2.88	2.78	0.4	2.74
159	2.74	2.88	9.3	2.93
160	2.93	2.74	0	3.39
161	3.39	2.93	0.5	2.88
162	2.88	3.39	2.9	2.51
163	2.51	2.88	0	2.46
164	2.46	2.51	0	2.37
165	2.37	2.46	14.7	3.84
166	3.84	2.37	3.5	5.1
167	5.1	3.84	6.2	4.11
168	4.11	5.1	0.3	4.74
169	4.74	4.11	1	3.19
170	3.19	4.74	14.6	5.05
171	5.05	3.19	0.2	5.67
172	5.67	5.05	7.9	5.99
173	5.99	5.67	0.4	4.05
174	4.05	5.99	0	3.39
